ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92059,7,2024,A,Y,0,0,0
92059,7,2024,C,Y,0,0,0
92059,7,2024,I,Y,0,0,0
92059,7,2024,R,N,414,389793,942
92060,7,2024,A,Y,0,0,0
92060,7,2024,C,Y,0,0,0
92060,7,2024,I,Y,0,0,0
92060,7,2024,R,Y,0,0,0
92061,7,2024,A,Y,0,0,0
92061,7,2024,C,Y,0,0,0
92061,7,2024,I,Y,0,0,0
92061,7,2024,R,N,375,313299,835
92064,7,2024,A,Y,0,0,0
92064,7,2024,C,Y,0,0,0
92064,7,2024,I,Y,0,0,0
92064,7,2024,R,Y,15751,8092402,514
92065,7,2024,A,Y,0,0,0
92065,7,2024,C,Y,0,0,0
92065,7,2024,I,Y,0,0,0
92065,7,2024,R,Y,2750,2020387,735
92066,7,2024,A,Y,0,0,0
92066,7,2024,C,Y,0,0,0
92066,7,2024,I,Y,0,0,0
92066,7,2024,R,Y,0,0,0
92067,7,2024,A,Y,0,0,0
92067,7,2024,C,Y,0,0,0
92067,7,2024,I,Y,0,0,0
92067,7,2024,R,N,555,660865,1191
92068,7,2024,A,Y,0,0,0
92068,7,2024,C,Y,0,0,0
92068,7,2024,I,Y,0,0,0
92068,7,2024,R,Y,0,0,0
92069,7,2024,A,Y,0,0,0
92069,7,2024,C,Y,0,0,0
92069,7,2024,I,Y,0,0,0
92069,7,2024,R,Y,3203,843567,263
92070,7,2024,A,Y,0,0,0
92070,7,2024,C,Y,0,0,0
92070,7,2024,I,Y,0,0,0
92070,7,2024,R,Y,0,0,0
92071,7,2024,A,Y,0,0,0
92071,7,2024,C,Y,1366,10124128,7412
92071,7,2024,I,Y,0,0,0
92071,7,2024,R,Y,19995,14744931,737
92072,7,2024,A,Y,0,0,0
92072,7,2024,C,Y,0,0,0
92072,7,2024,I,Y,0,0,0
92072,7,2024,R,Y,0,0,0
92075,7,2024,A,Y,0,0,0
92075,7,2024,C,N,696,2972376,4271
92075,7,2024,I,Y,0,0,0
92075,7,2024,R,N,5676,2242001,395
92078,7,2024,A,Y,0,0,0
92078,7,2024,C,Y,0,0,0
92078,7,2024,I,Y,0,0,0
92078,7,2024,R,N,3524,1593422,452
92079,7,2024,A,Y,0,0,0
92079,7,2024,C,Y,0,0,0
92079,7,2024,I,Y,0,0,0
92079,7,2024,R,Y,0,0,0
92081,7,2024,A,Y,0,0,0
92081,7,2024,C,Y,0,0,0
92081,7,2024,I,Y,0,0,0
92081,7,2024,R,Y,2851,664677,233
92082,7,2024,A,Y,0,0,0
92082,7,2024,C,Y,0,0,0
92082,7,2024,I,Y,0,0,0
92082,7,2024,R,Y,1781,1255998,705
92083,7,2024,A,Y,0,0,0
92083,7,2024,C,N,110,1218688,11079
92083,7,2024,I,Y,0,0,0
92083,7,2024,R,N,2560,435387,170
92084,7,2024,A,Y,0,0,0
92084,7,2024,C,Y,0,0,0
92084,7,2024,I,Y,0,0,0
92084,7,2024,R,Y,3279,706645,216
92085,7,2024,A,Y,0,0,0
92085,7,2024,C,Y,0,0,0
92085,7,2024,I,Y,0,0,0
92085,7,2024,R,Y,0,0,0
92086,7,2024,A,Y,0,0,0
92086,7,2024,C,Y,0,0,0
92086,7,2024,I,Y,0,0,0
92086,7,2024,R,Y,109,84605,776
92091,7,2024,A,Y,0,0,0
92091,7,2024,C,Y,0,0,0
92091,7,2024,I,Y,0,0,0
92091,7,2024,R,N,167,129531,776
92092,7,2024,A,Y,0,0,0
92092,7,2024,C,Y,0,0,0
92092,7,2024,I,Y,0,0,0
92092,7,2024,R,Y,0,0,0
92093,7,2024,A,Y,0,0,0
92093,7,2024,C,Y,0,0,0
92093,7,2024,I,Y,0,0,0
92093,7,2024,R,Y,0,0,0
92096,7,2024,A,Y,0,0,0
92096,7,2024,C,Y,0,0,0
92096,7,2024,I,Y,0,0,0
92096,7,2024,R,Y,0,0,0
92101,7,2024,A,Y,0,0,0
92101,7,2024,C,Y,0,0,0
92101,7,2024,I,Y,0,0,0
92101,7,2024,R,Y,15499,6702754,432
92102,7,2024,A,Y,0,0,0
92102,7,2024,C,N,195,1610293,8258
92102,7,2024,I,Y,0,0,0
92102,7,2024,R,N,4538,1338946,295
92103,7,2024,A,Y,0,0,0
92103,7,2024,C,Y,0,0,0
92103,7,2024,I,Y,0,0,0
92103,7,2024,R,Y,7573,2163240,286
92104,7,2024,A,Y,0,0,0
92104,7,2024,C,Y,0,0,0
92104,7,2024,I,Y,0,0,0
92104,7,2024,R,N,8529,2168085,254
92105,7,2024,A,Y,0,0,0
92105,7,2024,C,Y,0,0,0
92105,7,2024,I,Y,0,0,0
92105,7,2024,R,N,5774,1687763,292
92106,7,2024,A,Y,0,0,0
92106,7,2024,C,Y,0,0,0
92106,7,2024,I,Y,0,0,0
92106,7,2024,R,Y,2035,652470,321
92107,7,2024,A,Y,0,0,0
92107,7,2024,C,Y,0,0,0
92107,7,2024,I,Y,0,0,0
92107,7,2024,R,N,4408,1059109,240
92108,7,2024,A,Y,0,0,0
92108,7,2024,C,N,449,12593295,28047
92108,7,2024,I,Y,0,0,0
92108,7,2024,R,N,8376,3418191,408
92109,7,2024,A,Y,0,0,0
92109,7,2024,C,Y,0,0,0
92109,7,2024,I,Y,0,0,0
92109,7,2024,R,N,9307,2459236,264
92110,7,2024,A,Y,0,0,0
92110,7,2024,C,Y,0,0,0
92110,7,2024,I,Y,0,0,0
92110,7,2024,R,N,4361,1372064,315
92111,7,2024,A,Y,0,0,0
92111,7,2024,C,Y,645,5751387,8917
92111,7,2024,I,Y,0,0,0
92111,7,2024,R,Y,4307,1246826,289
92112,7,2024,A,Y,0,0,0
92112,7,2024,C,Y,0,0,0
92112,7,2024,I,Y,0,0,0
92112,7,2024,R,Y,0,0,0
92113,7,2024,A,Y,0,0,0
92113,7,2024,C,Y,0,0,0
92113,7,2024,I,Y,0,0,0
92113,7,2024,R,N,3278,886660,270
92114,7,2024,A,Y,0,0,0
92114,7,2024,C,Y,0,0,0
92114,7,2024,I,Y,0,0,0
92114,7,2024,R,N,3191,1143800,358
92115,7,2024,A,Y,0,0,0
92115,7,2024,C,Y,566,5158912,9115
92115,7,2024,I,Y,0,0,0
92115,7,2024,R,Y,7538,1911412,254
92116,7,2024,A,Y,0,0,0
92116,7,2024,C,Y,0,0,0
92116,7,2024,I,Y,0,0,0
92116,7,2024,R,N,6118,1527574,250
92117,7,2024,A,Y,0,0,0
92117,7,2024,C,N,245,2131706,8701
92117,7,2024,I,Y,0,0,0
92117,7,2024,R,N,5395,1372376,254
92118,7,2024,A,Y,0,0,0
92118,7,2024,C,Y,0,0,0
92118,7,2024,I,Y,0,0,0
92118,7,2024,R,Y,7945,5109117,643
92119,7,2024,A,Y,0,0,0
92119,7,2024,C,Y,0,0,0
92119,7,2024,I,Y,0,0,0
92119,7,2024,R,N,2343,944264,403
92120,7,2024,A,Y,0,0,0
92120,7,2024,C,Y,0,0,0
92120,7,2024,I,Y,0,0,0
92120,7,2024,R,N,4195,1838799,438
92121,7,2024,A,Y,0,0,0
92121,7,2024,C,Y,0,0,0
92121,7,2024,I,Y,0,0,0
92121,7,2024,R,Y,731,616580,843
92122,7,2024,A,Y,0,0,0
92122,7,2024,C,Y,0,0,0
92122,7,2024,I,Y,0,0,0
92122,7,2024,R,N,10299,2816359,273
92123,7,2024,A,Y,0,0,0
92123,7,2024,C,Y,481,20174819,41943
92123,7,2024,I,Y,0,0,0
92123,7,2024,R,Y,4747,2492456,525
92124,7,2024,A,Y,0,0,0
92124,7,2024,C,Y,0,0,0
92124,7,2024,I,Y,0,0,0
92124,7,2024,R,N,3063,1275255,416
92126,7,2024,A,Y,0,0,0
92126,7,2024,C,Y,632,4369491,6914
92126,7,2024,I,Y,0,0,0
92126,7,2024,R,Y,8326,2627090,316
92127,7,2024,A,Y,0,0,0
92127,7,2024,C,Y,0,0,0
