46938,31101,1384184,2237815,40176,86376,293814,638,110296,9236,26628,332438,89898,1420923,97291,9774,38364,778947,796838,146655,223326,165337,432726,1378641,1419359,809805,670268,379823,176215,679921,616994,4974,2960247,496286,1649856,1951,712335,133498,24782,5208,2599,348497,209192,64408,551361,5813,785546,410171,920502,316961,354681,147834,201461,6923,19386,7694641,180004,528247,94255,47689,266540,962771,525955,491165,808436,285954,108891,329618,23575,171818,261411,77186,202801,882437,864850,1022473,1234581,2394669,455751,251123,2635936,179588,203,221,14853,27338,5166,804301,1194,29,213760,3781,6776,47094,62532,270508,260654,752079,403434,180022,254767,758832,27829,107201,327205,431799,441209,927,672829,54324125
46747,31368,1387040,2234321,39727,87207,292735,622,110296,9221,27181,333253,90409,1420836,96835,10001,38107,779187,796453,146505,222231,165297,432249,1378713,1419423,811721,670881,377364,175608,679641,616281,5035,2957286,495513,1646616,1875,712347,133442,24315,5089,2643,346457,209322,64512,551270,5789,784717,410098,920578,317760,355672,147874,201057,6872,19331,7694972,180417,528569,94241,47045,268040,962552,525854,492297,808187,285002,108554,329007,23725,171001,260445,77411,203529,880275,866132,1023603,1233439,2394379,455667,250975,2635754,180003,192,218,15010,27321,5042,804685,1215,25,212661,3824,6951,46857,62539,269970,259504,753136,403528,178903,255322,759771,27588,107804,327682,434662,440448,872,671250,54310985
46989,30982,1386712,2236999,39607,87095,293413,610,110440,9324,26911,331519,90011,1422808,96438,9986,38063,779765,796632,146785,223580,165127,432144,1377082,1419232,810449,670617,378986,176062,677274,616824,4976,2959999,494166,1645899,1946,713482,133465,24568,5088,2618,347597,208263,65374,553082,5860,785615,409712,920476,317410,355843,147416,201686,6805,19511,7693777,180131,527951,94228,47464,266710,964790,525087,490102,809391,285918,108244,330309,23846,171158,260931,77219,203789,882107,864729,1020551,1232522,2393358,455865,250901,2637453,179758,229,207,14748,27444,5227,805513,1260,25,214244,3782,6845,47066,62484,270017,260350,753610,403257,179549,254822,759663,27680,107962,327563,432536,441353,915,670820,54316783
47158,31077,1387224,2237780,39969,86193,293078,661,110458,9371,26780,333451,90028,1420041,96965,10048,38357,777977,798152,147132,222705,164365,432623,1380320,1417500,809470,671160,379347,176336,679223,616458,4856,2958540,496392,1646704,1944,713352,133400,24682,5204,2598,349060,208922,64986,552885,5682,785508,410746,921329,316875,356018,148220,200686,6805,19634,7691204,181044,526839,94115,47970,266875,963534,525807,491591,806900,286167,108006,329809,23744,171069,260213,77240,204113,882771,864464,1022963,1234497,2394463,456274,250618,2636301,179107,223,217,15072,27255,5118,804826,1252,30,214143,3775,6724,47394,62341,270962,259566,751710,403502,179181,255090,757955,27378,107448,328376,433744,441391,919,671214,54320939
46855,31173,1385594,2235335,39912,86728,293175,615,110683,9300,27382,333095,90745,1418197,96952,9894,38123,777574,796705,146701,223005,165216,432122,1376966,1417551,811324,670142,377496,175839,679017,616059,5028,2959509,495345,1647835,1991,713786,133565,24596,5132,2602,348550,208716,64791,552897,5670,786751,410975,922347,316924,354252,148159,201136,6818,19267,7693265,178958,527646,94267,47779,266487,965375,526101,490085,809954,286854,107732,328893,23651,171229,260102,77352,203364,879894,864707,1022890,1234391,2395053,456320,251009,2634097,180462,163,203,15065,27083,5254,805702,1276,21,213822,3880,6795,47267,62108,270798,259882,751698,403513,179862,254469,758419,27198,107089,328645,434135,441414,908,672323,54313026
46896,31209,1389659,2234490,39824,87659,293244,637,110556,9236,26924,333001,90179,1420892,97657,10122,38211,779231,795921,146954,222194,164798,431506,1378746,1420391,810823,671614,379582,175083,679088,616430,5056,2959767,494590,1648886,1908,713492,133655,24408,5076,2636,346356,208591,64396,552694,5779,785337,410455,921363,316935,356272,148018,200944,6827,19672,7693256,180302,526780,94191,47705,266637,965290,526201,491183,809229,286485,108473,330353,23537,170858,259344,77326,202870,881585,863034,1022319,1231508,2392921,455929,251048,2634970,179563,214,210,14843,27482,5316,807159,1224,25,213456,3662,6770,47234,62390,270464,259383,751239,403458,178638,255152,759657,27105,108340,328262,433557,441539,964,671343,54317853
46936,31000,1389108,2238264,39882,87144,293307,592,110259,9253,26985,333308,90377,1419409,97158,10096,38193,778288,797308,146567,223129,164578,431566,1378819,1418358,811516,670866,378280,176032,679957,615398,4914,2959369,495411,1646486,1951,711722,133722,24587,5143,2602,348564,209265,64201,553336,5844,784744,410494,922936,317756,354903,148255,201375,6763,19068,7699446,180970,527062,94211,47548,266174,966359,524029,491805,809278,285396,108437,329750,23504,170311,260669,76834,203504,881196,863433,1021850,1234972,2393861,455826,251000,2638460,179909,202,201,14695,27250,5142,805246,1159,26,214242,3878,6635,47160,62157,270536,259751,752766,401491,180266,254678,759718,27346,107308,328313,433686,442420,936,670875,54329221
47059,30820,1388007,2239344,40291,86382,292914,575,110615,9385,26655,332972,90606,1422072,96568,9976,38509,777845,795578,147075,223538,165105,431697,1376711,1420800,810045,669676,378508,176144,678316,617939,4848,2956887,494679,1644843,2069,713304,133378,24233,5057,2614,347200,208943,64791,552660,5640,783980,409851,920536,317047,356052,149125,201995,6888,19391,7696030,180555,528342,94449,47424,266175,963719,527363,491885,809629,286272,108694,330069,23790,171456,260920,77463,203551,881430,866152,1022891,1235285,2397515,455977,250601,2636958,180483,203,234,14888,27517,5006,805906,1183,21,213963,3730,6929,47299,62696,270121,260104,752670,403361,179692,254105,759968,27378,107668,327950,433210,442535,945,672537,54334635
47241,31126,1389338,2240227,39543,87102,293114,606,110546,9326,26845,333220,90396,1420996,97063,9956,38299,777927,796566,147829,221924,165024,432239,1378758,1417377,808583,670203,378497,175776,677880,617075,4935,2962139,493979,1647466,1949,713837,133629,24577,5214,2561,348149,208720,64742,552785,5806,785112,410298,919455,316816,356140,148136,201872,6884,19371,7693316,179995,528065,94805,47817,266909,962611,525919,491204,809758,285452,107666,329811,23483,171384,261063,77029,203362,880428,865059,1021501,1234419,2393567,455098,249710,2635463,179961,202,217,14791,27413,5071,804005,1242,23,213151,3728,6782,47013,62163,270400,259537,751971,403152,178819,254613,759663,27433,106685,327814,432455,440614,898,671230,54311114
46557,31166,1386891,2239106,39694,86794,292206,579,110354,9270,26911,333489,90225,1419933,97388,9863,38280,778938,797015,147252,222348,164941,432631,1376038,1416658,809570,670322,379612,176151,677934,617656,4949,2959150,494984,1645830,1950,713017,133946,24353,5249,2619,347488,208403,65071,551225,5631,784782,409556,922023,315605,355440,147506,201005,6854,19445,7689590,180487,528560,94829,47741,266840,965189,527248,491928,810024,285488,108269,329714,23628,171465,260876,77369,202905,881867,863795,1020500,1234575,2395080,456390,250836,2634226,179593,201,232,14781,27189,5062,806317,1285,24,213327,3699,6787,47887,62380,270618,260351,752253,402848,179313,255453,758974,27260,107614,327835,432238,441044,948,671965,54308750
